file_id	emotion	raw_text	normalized_text	speaker_id	gender	age
WR0_surprised_64.wav	surprised	Ucho wykrywa dźwięki o różnej częstotliwości.	ucho wykrywa dźwięki o różnej częstotliwości	        WR0	male	23
EB0_neutral_13.wav	neutral	Interesuje mnie historia Polski.	interesuje mnie historia polski	        EB0	female	27
WR0_surprised_70.wav	surprised	Człowiek zaczyna umierać już w momencie narodzin.	człowiek zaczyna umierać już w momencie narodzin	        WR0	male	23
KS0_surprised_10.wav	surprised	Kupiłem nową szafę do sypialni.	kupiłem nową szafę do sypialni	        KS0	male	23
MP0_sadness_79.wav	sadness	Mleko jest źródłem wapnia i innych składników odżywczych.	mleko jest źródłem wapnia i innych składników odżywczych	        MP0	male	24
KS0_surprised_38.wav	surprised	„Ród smoka” to serial telewizyjny.	„ród smoka” to serial telewizyjny	        KS0	male	23
MP0_sadness_51.wav	sadness	Strzelec to znak zodiaku następujący po Skorpionie.	strzelec to znak zodiaku następujący po skorpionie	        MP0	male	24
WR0_happiness_86.wav	happiness	Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.	myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu	        WR0	male	23
WR0_surprised_58.wav	surprised	Otrzymałem piękną pocztówkę z widokiem na góry.	otrzymałem piękną pocztówkę z widokiem na góry	        WR0	male	23
KD0_neutral_2.wav	neutral	Nie waśńmy się ze sobą.	nie waśńmy się ze sobą	        KD0	female	28
EB0_fear_35.wav	fear	Aby upiec ciasto, muszę kupić mączkę.	aby upiec ciasto muszę kupić mączkę	        EB0	female	27
EB0_fear_21.wav	fear	Egipcjanie uważali ibisy za święte.	egipcjanie uważali ibisy za święte	        EB0	female	27
MP0_sadness_45.wav	sadness	Postanowiłem wynająć samochód na wakacje.	postanowiłem wynająć samochód na wakacje	        MP0	male	24
WR0_happiness_79.wav	happiness	Mleko jest źródłem wapnia i innych składników odżywczych.	mleko jest źródłem wapnia i innych składników odżywczych	        WR0	male	23
KS0_happiness_19.wav	happiness	W wolnym czasie lubię czytać książki.	w wolnym czasie lubię czytać książki	        KS0	male	23
MK0_anger_8.wav	anger	Moja ciocia jest bardzo pomocna.	moja ciocia jest bardzo pomocna	        MK0	female	23
TP0_neutral_58.wav	neutral	Otrzymałem piękną pocztówkę z widokiem na góry.	otrzymałem piękną pocztówkę z widokiem na góry	        TP0	male	26
TP0_neutral_70.wav	neutral	Człowiek zaczyna umierać już w momencie narodzin.	człowiek zaczyna umierać już w momencie narodzin	        TP0	male	26
WR0_happiness_45.wav	happiness	Postanowiłem wynająć samochód na wakacje.	postanowiłem wynająć samochód na wakacje	        WR0	male	23
IC0_sadness_21.wav	sadness	Egipcjanie uważali ibisy za święte.	egipcjanie uważali ibisy za święte	        IC0	female	28
MK0_fear_36.wav	fear	Ten pomysł trąci brakiem realizmu.	ten pomysł trąci brakiem realizmu	        MK0	female	23
MK0_sadness_23.wav	sadness	Woda w basenie jest bardzo ciepła.	woda w basenie jest bardzo ciepła	        MK0	female	23
KS0_happiness_25.wav	happiness	Gorzka czekolada jest idealna na deser.	gorzka czekolada jest idealna na deser	        KS0	male	23
KS0_happiness_31.wav	happiness	Dokarmcie koty wychodząc z domu.	dokarmcie koty wychodząc z domu	        KS0	male	23
MK0_fear_22.wav	fear	Piesek wszedł do rzeki żeby popływać.	piesek wszedł do rzeki żeby popływać	        MK0	female	23
MK0_sadness_37.wav	sadness	Relaksujące piosnki poprawiają nastrój.	relaksujące piosnki poprawiają nastrój	        MK0	female	23
TP0_neutral_64.wav	neutral	Ucho wykrywa dźwięki o różnej częstotliwości.	ucho wykrywa dźwięki o różnej częstotliwości	        TP0	male	26
WR0_happiness_51.wav	happiness	Strzelec to znak zodiaku następujący po Skorpionie.	strzelec to znak zodiaku następujący po skorpionie	        WR0	male	23
IC0_sadness_35.wav	sadness	Aby upiec ciasto, muszę kupić mączkę.	aby upiec ciasto muszę kupić mączkę	        IC0	female	28
MP0_sadness_86.wav	sadness	Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.	myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu	        MP0	male	24
SM0_neutral_86.wav	neutral	Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.	myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu	        SM0	male	24
EB0_anger_57.wav	anger	Jedz inaczej aby polepszyć swoje zdrowie.	jedz inaczej aby polepszyć swoje zdrowie	        EB0	female	27
KS0_neutral_22.wav	neutral	Piesek wszedł do rzeki żeby popływać.	piesek wszedł do rzeki żeby popływać	        KS0	male	23
TP0_fear_52.wav	fear	Na złamaną kończynę często zakłada się gips.	na złamaną kończynę często zakłada się gips	        TP0	male	26
TP0_fear_46.wav	fear	„Żołwica” to dawne określenie na siostrę męża.	żołwica to dawne określenie na siostrę męża	        TP0	male	26
EB0_anger_43.wav	anger	Niania odegrała w moim życiu ważną rolę.	niania odegrała w moim życiu ważną rolę	        EB0	female	27
WR0_sadness_14.wav	sadness	Ten miesiąc minął bardzo szybko.	ten miesiąc minął bardzo szybko	        WR0	male	23
KS0_neutral_36.wav	neutral	Ten pomysł trąci brakiem realizmu.	ten pomysł trąci brakiem realizmu	        KS0	male	23
EB0_surprised_80.wav	surprised	Do dzisiejszego obiadu potrzebuje małego garnczka.	do dzisiejszego obiadu potrzebuje małego garnczka	        EB0	female	27
KD0_surprised_6.wav	surprised	Dziunia, nie jesteś moim szefem.	dziunia nie jesteś moim szefem	        KD0	female	28
TP0_neutral_1.wav	neutral	Lubię czytać przed snem.	lubię czytać przed snem	        TP0	male	26
WR0_sadness_9.wav	sadness	Piłka nożna to moja pasja.	piłka nożna to moja pasja	        WR0	male	23
EB0_surprised_6.wav	surprised	Dziunia, nie jesteś moim szefem.	dziunia nie jesteś moim szefem	        EB0	female	27
EB0_happiness_76.wav	happiness	Woda jest podstawowym składnikiem życia na Ziemi.	woda jest podstawowym składnikiem życia na ziemi	        EB0	female	27
WR0_sadness_28.wav	sadness	Podczas medytacji można wejść w trans.	podczas medytacji można wejść w trans	        WR0	male	23
EB0_happiness_62.wav	happiness	Twoje słowo ma dla mnie wielkie znaczenie.	twoje słowo ma dla mnie wielkie znaczenie	        EB0	female	27
KD0_sadness_65.wav	sadness	Podczas remontu odkryliśmy starodawny mur.	podczas remontu odkryliśmy starodawny mur	        KD0	female	28
EB0_surprised_57.wav	surprised	Jedz inaczej aby polepszyć swoje zdrowie.	jedz inaczej aby polepszyć swoje zdrowie	        EB0	female	27
SM0_neutral_45.wav	neutral	Postanowiłem wynająć samochód na wakacje.	postanowiłem wynająć samochód na wakacje	        SM0	male	24
EB0_happiness_89.wav	happiness	Dopełniacz jest jednym z przypadków gramatycznych w języku polskim.	dopełniacz jest jednym z przypadków gramatycznych w języku polskim	        EB0	female	27
EB0_anger_80.wav	anger	Do dzisiejszego obiadu potrzebuje małego garnczka.	do dzisiejszego obiadu potrzebuje małego garnczka	        EB0	female	27
IC0_anger_11.wav	anger	Nie zachowuj się jak żigolak.	nie zachowuj się jak żigolak	        IC0	female	28
TP0_fear_85.wav	fear	W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe.	w bankach można założyć konto osobiste oszczędnościowe lub kredytowe	        TP0	male	26
SM0_neutral_51.wav	neutral	Strzelec to znak zodiaku następujący po Skorpionie.	strzelec to znak zodiaku następujący po skorpionie	        SM0	male	24
KD0_sadness_71.wav	sadness	Baza wojskowa jest strategicznym punktem dla armii.	baza wojskowa jest strategicznym punktem dla armii	        KD0	female	28
EB0_surprised_43.wav	surprised	Niania odegrała w moim życiu ważną rolę.	niania odegrała w moim życiu ważną rolę	        EB0	female	27
SM0_neutral_79.wav	neutral	Mleko jest źródłem wapnia i innych składników odżywczych.	mleko jest źródłem wapnia i innych składników odżywczych	        SM0	male	24
KD0_anger_67.wav	anger	Miłość jest jednym z najpiękniejszych uczuć.	miłość jest jednym z najpiękniejszych uczuć	        KD0	female	28
KS0_fear_17.wav	fear	Chcę przeczytać ten artykuł jeszcze raz.	chcę przeczytać ten artykuł jeszcze raz	        KS0	male	23
KD0_sadness_59.wav	sadness	Kupiłem nowy słownik języka hiszpańskiego.	kupiłem nowy słownik języka hiszpańskiego	        KD0	female	28
IC0_anger_39.wav	anger	Sziwa oznacza żałobę po zmarłym.	sziwa oznacza żałobę po zmarłym	        IC0	female	28
KS0_anger_1.wav	anger	Lubię czytać przed snem.	lubię czytać przed snem	        KS0	male	23
MP0_anger_44.wav	anger	Tęsknota to uczucie, które każdy z nas zna.	tęsknota to uczucie które każdy z nas zna	        MP0	male	24
KD0_anger_73.wav	anger	Zawsze stawiam przed rzeczownikami właściwy rodzajnik.	zawsze stawiam przed rzeczownikami właściwy rodzajnik	        KD0	female	28
SM0_fear_66.wav	fear	Rtęć jest jednym z pierwiastków chemicznych.	rtęć jest jednym z pierwiastków chemicznych	        SM0	male	24
KS0_sadness_44.wav	sadness	Tęsknota to uczucie, które każdy z nas zna.	tęsknota to uczucie które każdy z nas zna	        KS0	male	23
WR0_neutral_66.wav	neutral	Rtęć jest jednym z pierwiastków chemicznych.	rtęć jest jednym z pierwiastków chemicznych	        WR0	male	23
TP0_surprised_17.wav	surprised	Chcę przeczytać ten artykuł jeszcze raz.	chcę przeczytać ten artykuł jeszcze raz	        TP0	male	26
KS0_sadness_50.wav	sadness	W muzeum można zobaczyć szkielet dinozaura.	w muzeum można zobaczyć szkielet dinozaura	        KS0	male	23
WR0_neutral_72.wav	neutral	Bastion był kiedyś ważnym elementem obrony miasta.	bastion był kiedyś ważnym elementem obrony miasta	        WR0	male	23
SM0_fear_72.wav	fear	Bastion był kiedyś ważnym elementem obrony miasta.	bastion był kiedyś ważnym elementem obrony miasta	        SM0	male	24
KS0_fear_9.wav	fear	Piłka nożna to moja pasja.	piłka nożna to moja pasja	        KS0	male	23
SM0_surprised_33.wav	surprised	Po operacji nie mam żadnych blizn.	po operacji nie mam żadnych blizn	        SM0	male	24
KS0_sadness_78.wav	sadness	Moim ulubionym sosem do pizzy jest sos czosnkowy.	moim ulubionym sosem do pizzy jest sos czosnkowy	        KS0	male	23
SM0_anger_82.wav	anger	Czerwiec kojarzy się z zakończeniem roku szkolnego.	czerwiec kojarzy się z zakończeniem roku szkolnego	        SM0	male	24
SM0_surprised_27.wav	surprised	W niedzielę szkoła jest zamknięta.	w niedzielę szkoła jest zamknięta	        SM0	male	24
WR0_happiness_4.wav	happiness	Dzieci muszą dużo jeść.	dzieci muszą dużo jeść	        WR0	male	23
SM0_sadness_23.wav	sadness	Woda w basenie jest bardzo ciepła.	woda w basenie jest bardzo ciepła	        SM0	male	24
MK0_happiness_24.wav	happiness	Miasto tętni życiem, nawet w nocy.	miasto tętni życiem nawet w nocy	        MK0	female	23
KS0_sadness_87.wav	sadness	Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.	na targach rzemieślniczych można zobaczyć wiele unikatowych produktów	        KS0	male	23
IC0_neutral_9.wav	neutral	Piłka nożna to moja pasja.	piłka nożna to moja pasja	        IC0	female	28
SM0_happiness_12.wav	happiness	Mój teść zawsze służy radą.	mój teść zawsze służy radą	        SM0	male	24
KD0_sadness_1.wav	sadness	Lubię czytać przed snem.	lubię czytać przed snem	        KD0	female	28
TP0_surprised_1.wav	surprised	Lubię czytać przed snem.	lubię czytać przed snem	        TP0	male	26
SM0_anger_69.wav	anger	Przez most na rzece można szybko dotrzeć do miasta.	przez most na rzece można szybko dotrzeć do miasta	        SM0	male	24
KD0_neutral_17.wav	neutral	Chcę przeczytać ten artykuł jeszcze raz.	chcę przeczytać ten artykuł jeszcze raz	        KD0	female	28
